x, z_0, z_1, z_2
5.760037, 4.878228, 0.999515, -0.000070
5.770037, 4.888223, 0.999515, -0.000070
5.780037, 4.898218, 0.999514, -0.000070
5.790038, 4.908213, 0.999513, -0.000070
5.800038, 4.918208, 0.999512, -0.000070
5.810038, 4.928203, 0.999512, -0.000070
5.820038, 4.938198, 0.999511, -0.000070
5.830039, 4.948193, 0.999510, -0.000070
5.840039, 4.958188, 0.999510, -0.000070
5.850039, 4.968183, 0.999509, -0.000070
5.860039, 4.978178, 0.999508, -0.000070
5.870039, 4.988173, 0.999507, -0.000069
5.880040, 4.998168, 0.999507, -0.000069
5.890040, 5.008162, 0.999506, -0.000069
5.900040, 5.018157, 0.999505, -0.000069
5.910040, 5.028152, 0.999505, -0.000069
5.920041, 5.038147, 0.999504, -0.000069
5.930041, 5.048142, 0.999503, -0.000069
5.940041, 5.058137, 0.999502, -0.000069
5.950041, 5.068132, 0.999502, -0.000069
5.960042, 5.078127, 0.999501, -0.000069
5.970042, 5.088122, 0.999500, -0.000069
5.980042, 5.098117, 0.999499, -0.000069
5.990042, 5.108112, 0.999499, -0.000069
6.000042, 5.118107, 0.999498, -0.000069
6.010043, 5.128102, 0.999497, -0.000069
6.020043, 5.138097, 0.999497, -0.000069
6.030043, 5.148092, 0.999496, -0.000069
